country,year,sex,list,cause,cdr
USA,2011,1,short,16,846
USA,2012,1,short,0,8253
USA,2012,1,short,1,230
USA,2012,1,short,2,2054
USA,2012,1,short,3,31
USA,2012,1,short,4,352
USA,2012,1,short,5,340
USA,2012,1,short,6,391
USA,2012,1,short,7,2129
USA,2012,1,short,8,346
USA,2012,1,short,9,96
USA,2012,1,short,10,159
USA,2012,1,short,11,621
USA,2012,1,short,12,331
USA,2012,1,short,13,42
USA,2012,1,short,14,192
USA,2012,1,short,15,86
USA,2012,1,short,16,853
USA,2013,1,short,0,8401
USA,2013,1,short,1,236
USA,2013,1,short,2,2050
USA,2013,1,short,3,30
USA,2013,1,short,4,363
USA,2013,1,short,5,356
USA,2013,1,short,6,403
USA,2013,1,short,7,2175
USA,2013,1,short,8,350
USA,2013,1,short,9,97
USA,2013,1,short,10,176
USA,2013,1,short,11,643
USA,2013,1,short,12,339
USA,2013,1,short,13,42
USA,2013,1,short,14,197
USA,2013,1,short,15,85
USA,2013,1,short,16,857
USA,2014,1,short,0,8480
USA,2014,1,short,1,233
USA,2014,1,short,2,2060
USA,2014,1,short,3,31
USA,2014,1,short,4,376
USA,2014,1,short,5,347
USA,2014,1,short,6,431
USA,2014,1,short,7,2180
USA,2014,1,short,8,358
USA,2014,1,short,9,98
USA,2014,1,short,10,173
USA,2014,1,short,11,637
USA,2014,1,short,12,346
USA,2014,1,short,13,43
USA,2014,1,short,14,204
USA,2014,1,short,15,84
USA,2014,1,short,16,878
USA,2015,1,short,0,8702
USA,2015,1,short,1,238
USA,2015,1,short,2,2061
USA,2015,1,short,3,32
USA,2015,1,short,4,395
USA,2015,1,short,5,317
USA,2015,1,short,6,486
USA,2015,1,short,7,2232
USA,2015,1,short,8,373
USA,2015,1,short,9,97
USA,2015,1,short,10,174
USA,2015,1,short,11,661
USA,2015,1,short,12,354
USA,2015,1,short,13,44
USA,2015,1,short,14,214
USA,2015,1,short,15,85
USA,2015,1,short,16,939
USA,2016,1,short,0,8808
USA,2016,1,short,1,230
USA,2016,1,short,2,2050
USA,2016,1,short,3,32
USA,2016,1,short,4,403
USA,2016,1,short,5,315
USA,2016,1,short,6,511
USA,2016,1,short,7,2248
USA,2016,1,short,8,378
USA,2016,1,short,9,97
USA,2016,1,short,10,160
USA,2016,1,short,11,663
USA,2016,1,short,12,357
USA,2016,1,short,13,46
USA,2016,1,short,14,215
USA,2016,1,short,15,83
USA,2016,1,short,16,1021
USA,2017,1,short,0,8995
USA,2017,1,short,1,224
USA,2017,1,short,2,2041
USA,2017,1,short,3,32
USA,2017,1,short,4,425
USA,2017,1,short,5,322
USA,2017,1,short,6,545
USA,2017,1,short,7,2294
USA,2017,1,short,8,389
USA,2017,1,short,9,96
USA,2017,1,short,10,169
USA,2017,1,short,11,681
USA,2017,1,short,12,361
USA,2017,1,short,13,47
USA,2017,1,short,14,219
USA,2017,1,short,15,81
USA,2017,1,short,16,1069
USA,2018,1,short,0,9067
USA,2018,1,short,1,219
USA,2018,1,short,2,2031
USA,2018,1,short,3,31
USA,2018,1,short,4,443
USA,2018,1,short,5,322
USA,2018,1,short,6,570
USA,2018,1,short,7,2325
USA,2018,1,short,8,395
USA,2018,1,short,9,95
USA,2018,1,short,10,182
