country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1982,1,short,4,8,65785.19,59.79,28.6,17.71,45.69,64.51,96.6,190.26,272.84,401.26,645.97,1022.64,1742.5,2814.04,4338.25,6739.65,9689.35,11762.63,11434.63,14418.27,8744.64,5673.63,4361.65,1311.98,1160.02,151.96
USA,1982,1,short,4,9,25832.91,21.29,5.26,5.61,4.05,18.69,35.62,60.38,98.52,143.98,202.7,353.18,573.42,1133.1,2126.69,3217.54,4015.07,4271.66,3943.8,5602.35,3149.42,2452.93,1764.5,688.42,570.31,118.12
USA,1982,1,short,4,10,18341.92,404.53,143.62,41.78,37.38,61.58,87.91,114.23,189.69,179.12,217.76,324.92,426.3,706.02,978.66,1334.36,1953.89,2589.65,3169.73,5380.78,2980.76,2400.01,1750.69,649.32,546.96,102.36
USA,1982,1,short,4,11,54430.7,286.94,104.44,37.8,56.22,103.59,156.8,135.63,224.61,241.59,363.5,594.77,1387.34,2874.99,5134.15,8004.55,10335.55,10441.96,7482.08,6464.2,4319.81,2144.39,1708.29,436.11,380.4,55.71
USA,1982,1,short,4,12,39157.4,291.94,77.21,29.91,46.68,41.42,160.49,405.85,854.99,1290.87,1657.74,2323.32,3419.16,4188.48,4651.97,4959.34,4601.52,3774.77,3008.99,3372.75,2129.42,1243.33,958.31,285.02,263.71,21.31
USA,1982,1,short,4,13,3794.39,15.77,8.37,7.3,8.12,15.73,30.33,34.28,55.85,54.68,57.79,85.37,138.25,222.12,367.23,440.32,535.32,595.43,504.14,618,362.02,255.98,189.52,66.46,59.44,7.02
USA,1982,1,short,4,14,15754.42,187.4,17.82,13.34,11.66,10.39,54.91,78.69,117.68,147,169.52,232.12,384.27,674.39,1053.06,1500.42,2167.87,2514.88,2601.14,3817.86,2222.94,1594.92,1203.74,391.18,327.11,64.07
USA,1982,1,short,4,15,23012.9,20434.87,565.75,164.79,141.34,211.37,155.33,143.53,137.76,99.88,92.24,82.19,105.34,164.26,121.88,111.75,101.58,81.94,57.17,39.91,28.17,11.74,8.69,3.05,0.78,2.27
USA,1982,1,short,4,16,109553.01,787.68,2145.66,1481.23,2020.35,10442.74,16040.75,14037.25,10887.01,7957.29,5913.29,5271.35,5289.19,5270.92,4784.53,4174.26,3808.75,3420.41,2694.14,3126.23,1994.38,1131.85,853.67,278.19,229.24,48.95
USA,1983,1,short,4,0,1071923,22980.18,4519.9,2536.24,3127.94,11377.46,17510.65,17606.74,17288.11,17506.6,20914.54,28722.45,46711.03,75156.32,104709.39,130251.58,149494.33,146921.73,119903.97,134683.85,82184.86,52498.98,39831.67,12667.31,10929.81,1737.5
